INVOICE NO,PO NO,INVOICE DATE,AMOUNT,EXPECTED PAYMENT DATE,STATUS,CURRENCY,REASON
ISI-22030586,8700002673,15-Mar-20,32923.8,4-Jun-20,Paid,SAR,
ISI-22030574,8700002673,11-Mar-20,43898.4,4-Jun-20,Paid,SAR,
ISI-22030570,8700002673,11-Mar-20,28263.53,4-Jun-20,Paid,SAR,
ISI-22030665,8700002673,24-Mar-20,75052.19,4-Jun-20,Paid,SAR,
ISI-22030628,8700002673,18-Mar-20,12198.69,4-Jun-20,Paid,SAR,
ISI-22030585,8700002673,15-Mar-20,87898.1,4-Jun-20,Paid,SAR,
ISI-22030573,8700002673,11-Mar-20,54873,4-Jun-20,Paid,SAR,
ISI-22030584,8700002673,15-Mar-20,18572.4,4-Jun-20,Paid,SAR,
ISI-22030602,8700002673,16-Mar-20,7316.4,4-Jun-20,Paid,SAR,
ISI-22030513,8700002673,29-Feb-20,75640.32,30-Apr-20,Paid,SAR,
ISI-21932013,8700002457,25-Sep-19,22274.03,30-Apr-20,Paid,SAR,
ISI-22030779,8700002696,31-Mar-20,21949.2,4-Jun-20,Paid,SAR,
ISI-22030752,8700002673,31-Mar-20,54873,4-Jun-20,Paid,SAR,
ISI-22030793,8700002673,31-Mar-20,98771.4,4-Jun-20,Paid,SAR,
ISI-22030794,8700002696,31-Mar-20,58531.2,4-Jun-20,Paid,SAR,
ISI-21932010,8700002457,25-Sep-19,19425.29,30-Apr-20,Paid,SAR,
ISI-22030826,,9-Apr-20,13718.25,30-Jun-20,Paid,SAR,
ISI-22030824,8700002696,9-Apr-20,22219.34,30-Jun-20,Paid,SAR,
ISI-22030815,8700002673,7-Apr-20,31826.34,30-Jun-20,Paid,SAR,
ISI-22030822,8700002696,9-Apr-20,36783.2,30-Jun-20,Paid,SAR,
ISI-22030828,8700002696,9-Apr-20,49568.61,30-Jun-20,Paid,SAR,
ISI-22030823,8700002696,9-Apr-20,21954.83,30-Jun-20,Paid,SAR,
ISI-22030825,8700002696,9-Apr-20,12620.79,30-Jun-20,Paid,SAR,
ISI-22030102,8700002611,23-Jan-20,7673.78,30-Apr-20,Paid,SAR,
ISI-21932312,8700002550,27-Oct-19,42168.5,30-Apr-20,Paid,SAR,
